Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,58,0,7000.0,6124.1860534470925,218.15039998909924,11190.222399993218,119.0,0.9998556419499487,0.0,7000,8600,9100,9200,9800,10000,11000,11000,11000,11000,11000
GET,/status,23,0,170.0,182.22466086951064,57.60160001227632,384.16840000718366,375.3478260869565,0.39649447870429,0.0,170,190,210,250,350,370,380,380,380,380,380
GET,/visualizations,5,0,42000.0,40384.86254000163,32478.130000003148,48049.03399999603,8097.0,0.08619445189223696,0.0,42000,47000,47000,48000,48000,48000,48000,48000,48000,48000,48000
,Aggregated,86,0,4200.0,6526.956639534165,57.60160001227632,48049.03399999603,651.3953488372093,1.4825445725464756,0.0,4200,8200,8700,9200,10000,32000,47000,48000,48000,48000,48000
