Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,119,0,730.0,869.4478016808441,178.47479999181814,2445.0023000099463,119.0,1.992936016539476,0.0,730,900,1100,1200,1600,1900,2200,2400,2400,2400,2400
GET,/status,43,0,74,82.60926046492641,22.85429999756161,296.22659999586176,377.51162790697674,0.7201365437915754,0.0,74,90,92,97,160,180,300,300,300,300,300
GET,/visualizations,26,0,13000.0,16631.186999999605,5726.69360000873,24093.850499994005,8097.0,0.43543139857165025,0.0,16000,22000,22000,23000,24000,24000,24000,24000,24000,24000,24000
,Aggregated,188,0,660.0,2869.294407446819,22.85429999756161,24093.850499994005,1281.468085106383,3.1485039589027015,0.0,670,930,1300,1600,12000,22000,24000,24000,24000,24000,24000
