Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785314175,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785314176,5,,Aggregated,0.000000,0.000000,190,190,200,200,230,230,230,230,230,230,230,6,0,66,131.09888333565323,47.074300004169345,227.20500000286847,248.16666666666666
1785314177,10,,Aggregated,0.000000,0.000000,210,250,350,380,400,520,520,520,520,520,520,13,0,210.0,237.03669230879035,47.074300004169345,516.1638999998104,178.6153846153846
1785314178,15,,Aggregated,2.000000,0.000000,230,300,380,390,420,520,710,710,710,710,710,23,0,230.0,249.2654956522924,35.76980000070762,711.8046000105096,186.43478260869566
1785314179,15,,Aggregated,3.000000,0.000000,250,380,420,480,710,830,860,860,860,860,860,28,0,250.0,315.67600000042665,35.76980000070762,855.5485999968369,174.39285714285714
1785314180,15,,Aggregated,4.666667,0.000000,300,400,460,520,710,860,1000,1000,1000,1000,1000,34,0,300.0,348.25246176393085,35.76980000070762,999.6095999958925,164.61764705882354
1785314181,15,,Aggregated,6.000000,0.000000,380,480,630,710,860,1000,1100,1100,1100,1100,1100,40,0,350.0,415.22507749905344,35.76980000070762,1120.9833999891998,157.775
1785314182,15,,Aggregated,5.600000,0.000000,310,460,550,680,830,860,1100,1100,1100,1100,1100,43,0,310.0,396.1443069758473,35.01199999300297,1120.9833999891998,167.1627906976744
1785314183,15,,Aggregated,5.666667,0.000000,320,430,520,630,830,860,1100,1100,1100,1100,1100,46,0,310.0,389.2831195641876,35.01199999300297,1120.9833999891998,169.69565217391303
1785314184,15,,Aggregated,5.714286,0.000000,350,470,630,700,830,1000,1100,6200,6200,6200,6200,51,0,350.0,509.72596470519954,33.113800003775395,6165.783000004012,326.1764705882353
1785314185,15,,Aggregated,5.375000,0.000000,380,430,550,680,830,1000,1100,6200,6200,6200,6200,56,0,350.0,490.29666071380365,23.341300009633414,6165.783000004012,312.25
1785314186,15,,Aggregated,5.111111,0.000000,380,470,630,710,860,6200,6600,7800,7800,7800,7800,60,0,380.0,706.3947316656898,21.788799989735708,7817.606199998409,569.5666666666667
1785314187,15,,Aggregated,5.200000,0.000000,380,480,630,710,860,1100,6600,7800,7800,7800,7800,64,0,380.0,699.8532093739414,21.788799989735708,7817.606199998409,541.40625
1785314189,15,,Aggregated,5.400000,0.000000,390,490,680,710,860,1100,6600,7800,7800,7800,7800,67,0,390.0,697.4290895511209,21.788799989735708,7817.606199998409,522.4925373134329
1785314190,15,,Aggregated,5.400000,0.000000,400,520,680,720,860,1100,6600,7800,7800,7800,7800,70,0,390.0,694.1058514275937,21.788799989735708,7817.606199998409,505.2
1785314191,15,,Aggregated,5.000000,0.000000,400,560,710,800,1000,6200,7400,7800,7800,7800,7800,75,0,400.0,782.4832039989997,21.788799989735708,7817.606199998409,589.24
1785314192,15,,Aggregated,4.300000,0.000000,400,560,710,800,1000,6200,7400,7800,7800,7800,7800,79,0,400.0,767.847479745647,21.788799989735708,7817.606199998409,568.7215189873418
1785314193,15,,Aggregated,4.200000,0.000000,400,560,700,800,1000,1100,7400,7800,7800,7800,7800,81,0,400.0,753.9788530853845,21.788799989735708,7817.606199998409,560.8395061728395
1785314194,15,,Aggregated,3.900000,0.000000,400,560,710,800,1000,6200,7800,8200,8200,8200,8200,84,0,400.0,830.9077940466523,21.788799989735708,8210.025899999891,643.0833333333334
1785314195,15,,Aggregated,3.800000,0.000000,400,560,710,800,1000,6200,7800,8200,8200,8200,8200,87,0,400.0,824.5254229874973,21.788799989735708,8210.025899999891,625.0114942528736
1785314196,15,,Aggregated,3.800000,0.000000,410,580,720,820,1000,7100,8200,13000,13000,13000,13000,90,0,400.0,1028.209467776954,21.788799989735708,13492.782900008024,785.4333333333333
1785314197,15,,Aggregated,3.700000,0.000000,420,630,720,830,1000,7400,9600,13000,13000,13000,13000,94,0,410.0,1104.7152489353468,21.788799989735708,13492.782900008024,844.7234042553191
1785314198,15,,Aggregated,3.400000,0.000000,430,630,800,850,1700,7800,13000,15000,15000,15000,15000,96,0,420.0,1259.0153062490874,21.788799989735708,15346.888899992337,912.7083333333334
1785314199,15,,Aggregated,3.400000,0.000000,430,680,820,860,6200,8200,15000,15000,15000,15000,15000,100,0,420.0,1374.5965629992133,21.788799989735708,15408.02669999539,965.96
1785314200,15,,Aggregated,3.200000,0.000000,440,680,830,910,1700,7800,13000,15000,15000,15000,15000,104,0,430.0,1350.0942432684287,21.788799989735708,15408.02669999539,935.8942307692307
1785314201,15,,Aggregated,3.200000,0.000000,430,680,820,870,1700,7800,13000,15000,15000,15000,15000,107,0,430.0,1321.7921943917042,21.788799989735708,15408.02669999539,917.8130841121496
1785314202,15,,Aggregated,3.300000,0.000000,460,690,850,970,1900,7800,13000,15000,15000,15000,15000,110,0,440.0,1324.6897672718412,21.788799989735708,15408.02669999539,896.0272727272727
1785314203,15,,Aggregated,3.200000,0.000000,470,710,860,980,1700,7800,13000,15000,15000,15000,15000,115,0,470.0,1307.6750634773382,21.788799989735708,15408.02669999539,864.5043478260869
1785314204,15,,Aggregated,3.200000,0.000000,470,720,860,970,1700,7800,13000,15000,15000,15000,15000,117,0,470.0,1293.323076922152,21.788799989735708,15408.02669999539,853.982905982906
1785314205,15,,Aggregated,3.300000,0.000000,480,720,880,1000,1900,7800,13000,15000,15000,15000,15000,121,0,480.0,1390.0046190074963,21.788799989735708,15408.02669999539,897.7685950413223
1785314206,15,,Aggregated,3.300000,0.000000,480,800,910,1000,1900,7800,13000,15000,15000,15000,15000,122,0,480.0,1387.2643885238251,21.788799989735708,15408.02669999539,891.3852459016393
1785314207,15,,Aggregated,3.300000,0.000000,490,800,940,1000,1900,7800,13000,15000,15000,15000,15000,126,0,480.0,1371.0952492055228,21.788799989735708,15408.02669999539,868.9285714285714
1785314208,15,,Aggregated,3.200000,0.000000,520,810,940,1000,1900,8200,15000,15000,15000,15000,15000,130,0,520.0,1466.1655961532513,21.788799989735708,15408.02669999539,907.223076923077
1785314209,15,,Aggregated,3.100000,0.000000,550,820,970,1000,6200,13000,15000,15000,20000,20000,20000,136,0,520.0,1656.305694116942,21.788799989735708,20237.209200000507,993.5661764705883
1785314210,15,,Aggregated,3.300000,0.000000,550,830,980,1100,6200,13000,15000,15000,20000,20000,20000,141,0,550.0,1711.447753190725,21.788799989735708,20237.209200000507,1019.1347517730496
1785314211,15,,Aggregated,3.300000,0.000000,550,830,1000,1100,6200,13000,15000,15000,20000,20000,20000,146,0,540.0,1680.261515752709,21.788799989735708,20237.209200000507,990.0958904109589
1785314212,15,,Aggregated,3.700000,0.000000,550,820,1000,1100,6200,13000,15000,20000,20000,20000,20000,154,0,550.0,1748.227266232954,21.788799989735708,20237.209200000507,1000.038961038961
1785314213,15,,Aggregated,3.900000,0.000000,560,820,1000,1100,1900,13000,15000,20000,20000,20000,20000,161,0,560.0,1699.074681365634,21.788799989735708,20237.209200000507,964.9565217391304
1785314214,15,,Aggregated,4.400000,0.000000,550,820,1000,1100,6200,13000,15000,20000,20000,20000,20000,167,0,550.0,1764.8061982028028,21.788799989735708,20237.209200000507,982.3353293413173
1785314215,15,,Aggregated,4.600000,0.000000,540,800,980,1100,6200,13000,15000,20000,20000,20000,20000,174,0,520.0,1769.029913217665,21.788799989735708,20237.209200000507,996.4540229885057
1785314216,15,,Aggregated,4.600000,0.000000,540,810,1000,1100,6600,13000,15000,20000,20000,20000,20000,175,0,540.0,1821.2200748564542,21.788799989735708,20237.209200000507,1037.0285714285715
