Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,169,0,670.0,748.0270994077857,191.2436999991769,1938.4706999990158,119.0,2.8471792033169945,0.0,670,860,1000,1100,1400,1600,1800,1900,1900,1900,1900
GET,/status,43,0,54,79.77276279111825,21.788799989735708,423.2575000060024,378.51162790697674,0.7244302114948566,0.0,54,68,81,93,140,190,420,420,420,420,420
GET,/visualizations,26,0,13000.0,12496.46906538244,6165.783000004012,20237.209200000507,8097.0,0.4380275697410761,0.0,13000,15000,16000,17000,19000,20000,20000,20000,20000,20000,20000
,Aggregated,238,0,610.0,1910.7353121843585,21.788799989735708,20237.209200000507,1037.4327731092437,4.009636984552928,0.0,620,880,1100,1200,6800,13000,17000,19000,20000,20000,20000
